name,year,set,cardNo,team,c,pu,so,gb,fb,bb,si,sip,du,tr,hr,points,ip,hand,icon,pos
Troy Percival,'00,,10,Angels,3,7-8,1-6,9-11,12-18,19-,-,-,20-,-,-,180,1,R,,Closer
Jason Isringhausen,'04,,10,Cardinals,5,1-,2-7,8-14,15-17,18-,19-23,-,24-26,-,27+,230,1,R,,Closer
Mark Petkovsek,'01,,10,Angels,4,1-2,3-4,5-13,14-16,-,17-19,-,20-,-,-,180,1,R,,Reliever
Darren Holmes,'03,,11,Braves,5,1-2,3-7,8-13,14-17,18-19,20-21,-,22-,-,23+,240,1,R,,Reliever
Francisco Rodriguez,'05,,11,Angels,5,1-2,3-10,11-15,16-17,18-,19-23,-,24-27,-,28+,250,1,R,,Closer
Mark Petkovsek,'00,,11,Angels,3,4-6,1-3,7-13,14-17,-,18-19,-,20-,-,-,130,1,R,,Reliever
*Chris George,'03,,11,Royals,3,1-3,4-6,7-15,16-17,18-,19-21,-,22-,-,23+,160,5,L,,Starter
Jarrod Washburn,'04,,11,Angels,4,1-4,5-7,8-12,13-16,-,17-18,-,19-22,-,23+,200,6,L,,Starter
Jimmy Gobble,'05,,11,Royals,3,1-5,6-7,8-14,15-16,17-,18-19,-,20-23,-,24+,220,6,L,,Starter
*Blake Stein,'01,,11,Royals,1,1-4,5-8,9-13,14-17,18-19,20-,-,-,-,-,200,6,R,,Starter
*Carlos Silva,'04,,12,Twins,2,1-,2-3,4-11,12-16,17-,18-19,-,20-26,-,27+,100,7,R,,Starter
Edwin Jackson,'05,,12,Dodgers,1,1-3,4-7,8-13,14-15,16-,17-18,-,19-20,-,21+,10,5,R,,Starter
Jarrod Washburn,'03,,12,Angels,5,1-3,4-7,8-12,13-17,-,18-19,-,20-22,-,23+,560,6,L,,Starter
*Jake Peavy,'03,,12,Padres,3,1-3,4-8,9-12,13-15,16-,17-18,-,19-20,-,21+,40,6,R,R,Starter
Jarrod Washburn,'02,,12,Angels,2,1-5,6-8,9-12,13-18,-,19-,-,20-21,-,22+,260,6,L,,Starter
*A.J. Burnett,'02,,12,Marlins,4,4-7,8-11,12-16,17-18,19-23,-,-,-,24+,,350,6,R,,Starter
*Billy Wagner,'01,,12,Astros,4,1-3,4-10,11-13,14-16,17-18,19-,-,20-,-,-,160,1,L,,Closer
**Matt Mantei,'05,,12,Red Sox,1,1-4,5-10,11-13,14-15,16-,17-18,-,19-,-,20+,10,1,R,,Reliever
Scott Schoeneweis,'01,,12,Angels,4,1-2,3-5,6-13,14-15,16-,17-19,-,20-,-,-,380,6,L,,Starter
**Matt Mantei,'03,,13,Diamondbacks,2,1-3,4-8,9-12,13-16,17-,18-19,-,20-21,-,22+,80,1,R,,Reliever
**Neal Cotts,'05,,13,White Sox,2,1-2,3-7,8-13,14-16,17-,18-19,-,20-22,-,23+,70,1,L,,Reliever
*Felix Rodriguez,'03,,13,Giants,1,1-2,3-7,8-11,12-15,16-17,18-19,-,20-22,-,23+,40,1,R,,Reliever
Steve Sparks,'00,,13,Angels,0,4-7,1-3,8-12,13-18,19-,20-,-,-,-,-,150,6,R,,Starter
Miguel Batista,'02,,13,Diamondbacks,4,1-3,4-6,7-13,14-16,17-18,19-25,-,-,-,26+,450,6,R,,Starter
*Chris Holt,'01,,13,Tigers,3,1-2,3-5,6-12,13-15,16-,17-19,-,20-,-,-,240,6,R,,Starter
Jose Lima,'05,,13,Dodgers,4,1-2,3-7,8-13,14-17,18-,19-20,-,21-24,-,25+,430,7,R,,Starter
Miguel Batista,'03,,13,Diamondbacks,4,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+,380,5,R,,Starter
Elmer Dessens,'04,,14,Diamondbacks,1,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+,10,5,R,,Starter
Josh Beckett,'04,,14,Marlins,5,1-3,4-9,10-15,16-,17-,18-19,-,20-26,-,27+,440,6,R,,Starter
*Francisco Cordero,'04,,14,Rangers,2,1-,2-6,7-12,13-17,18-19,20-23,-,24-27,-,28+,150,1,R,,Closer
Giovanni Carrara,'03,,14,Dodgers,3,1-4,5-7,8-13,14-16,17-,18-19,-,20-24,-,25+,130,1,R,,Reliever
*Kevin McGlinchy,'00,,14,Braves,3,7-9,1-6,10-12,13-16,17-,18-19,-,20-,-,-,100,1,R,,Reliever
*Vladimir Nunez,'01,,15,Marlins,3,1-3,4-7,8-12,13-15,16-17,18-19,-,20-,-,-,70,2,R,,Reliever
Jarrod Washburn,'01,,15,Angels,5,1-3,4-6,7-10,11-15,16-17,18-19,-,20-,-,-,430,6,L,,Starter
*Terry Mulholland,'00,,15,Braves,4,4-5,1-3,6-12,13-15,-,16-19,-,20-,-,-,330,6,L,,Starter
**Arthur Rhodes,'04,,15,Athletics,3,1-3,4-8,9-14,15-16,17-18,19-,-,20-23,-,24+,100,1,L,,Reliever
Juan Rincon,'05,,15,Twins,5,1-3,4-10,11-15,16-17,18-,19-22,-,23-25,-,26+,250,1,R,,Reliever
Derek Lowe,'02,,15,Red Sox,4,1-4,5-10,11-15,16-19,-,20-25,-,-,-,26+,550,07,R,,Starter
**Glendon Rusch,'05,,15,Cubs,4,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+,400,5,L,,Starter
*Doug Davis,'02,,16,Rangers,1,1-5,6-9,10-15,16-18,19-,20-22,-,-,-,23+,230,6,L,,Starter
*C.J. Nitkowski,'01,,16,Tigers,1,1-2,3-7,8-14,15-17,18-,19-20,-,-,-,-,60,1,L,,Reliever
*Trevor Hoffman,'04,,16,Padres,4,1-,2-6,7-12,13-17,-,18-19,-,20-27,-,28+,190,1,R,,Closer
Brian Anderson,'01,,16,Diamondbacks,4,1-3,4-5,6-11,12-16,-,17-18,-,19-,-,20+,310,07,L,,Starter
*Rocky Biddle,'03,,16,Expos,4,1-,2-6,7-13,14-16,17-18,19-,-,20-22,-,23+,170,1,R,,Closer
*Steve Woodard,'02,,17,Rangers,4,1-2,3-5,6-11,12-15,-,16-19,-,20-24,-,25+,70,2,R,,Reliever
**Antonio Alfonseca,'03,,17,Cubs,2,1-2,3-6,7-14,15-,16-,17-19,-,20-22,-,23+,90,1,R,,Closer
Andy Benes,'00,,17,Diamondbacks,4,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-,350,6,R,,Starter
*Brandon Lyon,'03,,17,Red Sox,4,1-4,5-8,9-13,14-16,17-,18-19,-,20-22,-,23+,170,1,R,,Closer
**Ron Villone,'05,,17,Mariners,2,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+,10,1,L,,Reliever
Omar Daal,'00,,18,Diamondbacks,5,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-,510,07,R,,Starter
Mariano Rivera,'02,,18,Yankees,5,1-2,3-9,10-14,15-18,19-,20-25,-,-,-,26+,340,1,R,,Closer
Mike Remlinger,'04,,18,Cubs,3,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+,140,1,L,,Reliever
*Roberto Hernandez,'03,,18,Braves,2,1-2,3-7,8-14,15-16,17-18,19-,-,20-23,-,24+,80,1,R,,Reliever
**Grant Balfour,'04,,18,Twins,3,1-2,3-8,9-13,14-16,17-18,19-20,-,21-22,-,23+,130,2,R,R,Reliever
*Sun Woo Kim,'02,,18,Red Sox,3,1-4,5-7,8-12,13-15,16-,17-19,-,20-27,-,28+,20,2,R,,Reliever
*Mike Maroth,'04,,18,Tigers,2,1-3,4-7,8-15,16-,17-,18-22,-,23-25,-,26+,160,6,L,,Starter
Randy Johnson,'05,,18,Diamondbacks,6,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+,600,8,L,K,Starter
Randy Johnson,'03,,19,Diamondbacks,5,1-,2-8,9-13,14-16,17-,18-19,-,20-22,-,23+,550,07,L,"CY,K,20",Starter
*Mike Trombley,'00,,19,Orioles,4,6-7,1-5,8-11,12-16,17-,18-19,-,20-,-,-,130,1,R,,Reliever
Billy Wagner,'05,,19,Phillies,6,1-2,3-9,10-15,16-18,-,19-21,-,22-23,-,24+,310,1,L,,Closer
**Javier Lopez,'04,,19,Rockies,4,1-2,3-6,7-10,11-16,17-,18-19,-,20-24,-,25+,130,1,L,,Reliever
*Carlos Silva,'03,,19,Phillies,2,1-3,4-6,7-14,15-16,17-,18-19,-,20-22,-,23+,80,1,R,,Reliever
Mike Koplove,'05,,19,Diamondbacks,2,1-3,4-7,8-15,16-17,18-,19-22,-,23-25,-,26+,120,1,R,,Reliever
Kazuhiro Sasaki,'02,,20,Mariners,5,1-3,4-9,10-13,14-19,-,20-,-,21-24,-,25+,410,1,R,,Closer
*Juan Acevedo,'02,,20,Tigers,4,1-2,3-9,10-13,14-16,17-,18-24,-,-,-,25+,100,1,R,,Reliever
Byung-Hyun Kim,'03,,20,Diamondbacks,5,1-2,3-8,9-14,15-16,17-19,20-22,-,23-24,-,25+,230,1,R,,Closer
**Jeff Nelson,'04,,20,Rangers,3,1-3,4-10,11-15,16-17,18-,19-22,-,23-25,-,26+,130,1,R,,Reliever
*John Smoltz,'04,,20,Braves,6,1-,2-8,9-13,14-16,-,17-18,-,19-20,-,21+,170,1,R,,Reliever
*Chris Hammond,'03,,20,Yankees,3,1-2,3-6,7-12,13-16,17-,18-19,-,20-23,-,24+,90,1,L,,Reliever
Michael Tejera,'03,,20,Marlins,2,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+,220,5,L,,Starter
Randy Johnson,'02,,21,Diamondbacks,3,1-3,4-13,14-16,17-18,19-,20-26,-,-,-,27+,560,07,L,,Starter
**Kelvim Escobar,'04,,21,Angels,2,1-0,2-6,7-13,14-16,17-,18-19,-,20-23,-,24+,140,5,R,,Starter
*Wade Miller,'01,,21,Astros,1,1-2,3-7,8-14,15-17,18-,19-,-,20-,-,-,220,07,R,,Starter
Curt Schilling,'04,,21,Diamondbacks,4,1-,2-7,8-12,13-17,18-,19-20,-,21-24,-,25+,650,7,R,,Starter
Brandon Webb,'05,,21,Diamondbacks,2,1-4,5-13,14-15,16-17,18-19,-,20-25,-,26+,,200,6,R,,Starter
**Kazuhisa Ishii,'05,,21,Mets,2,1-,2-4,5-8,9-15,16-17,18-19,-,20-23,-,24+,120,6,L,,Starter
Preston Wilson,'04,,21,Rockies,2,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+,50,6,R,,Starter
Randy Johnson,'01,,22,Diamondbacks,3,1-2,3-10,11-14,15-17,18-,19-,-,20-,-,-,440,07,L,,Starter
**Dustin Hermanson,'05,,22,White Sox,3,1-2,3-6,7-12,13-16,17-,18-19,-,20-24,-,25+,280,5,R,,Starter
Randy Johnson,'01,,22,Diamondbacks,3,1-2,3-10,11-14,15-17,18-,19-,-,20-,-,-,440,07,L,,Starter
*Shawn Estes,'01,,22,Giants,5,1-2,3-5,6-11,12-14,15-16,17-19,-,20-,-,-,350,6,L,,Starter
Curt Schilling,'03,,22,Diamondbacks,6,1-2,3-9,10-14,15-17,-,18-19,-,20-22,-,23+,680,07,R,20,Starter
*Buddy Groom,'04,,22,Orioles,3,1-2,3-8,9-14,15-16,17-,18-23,-,24-27,-,28+,180,1,L,,Reliever
*Mariano Rivera,'02,,22,Yankees,5,1-2,3-9,10-14,15-18,19-,20-25,-,-,-,26+,310,1,R,,Closer
**Albie Lopez,'03,,22,Royals,2,1-2,3-6,7-13,14-15,16-,17-19,-,20-24,-,25+,110,2,R,,Reliever
Antonio Alfonseca,'05,,22,Braves,3,1-2,3-5,6-14,15-16,17-18,19-22,-,23-25,-,26+,160,1,R,,Reliever
*Ramon Martinez,'00,,22,Red Sox,6,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-,570,6,R,,Starter
Byung-Hyun Kim,'02,,22,Diamondbacks,3,1-4,5-12,13-16,17-18,19-23,-,-,-,-,24+,160,1,R,,Reliever
Randy Johnson,'01,,22,Diamondbacks,3,1-2,3-10,11-14,15-17,18-,19-,-,20-,-,-,440,07,L,,Starter
**Braden Looper,'04,,22,Mets,3,1-3,4-7,8-14,15-16,17-,18-23,-,24-26,-,27+,140,1,R,,Closer
Byung-Hyun Kim,'01,,23,Diamondbacks,2,1-2,3-12,13-15,16-17,18-20,-,-,-,-,-,110,1,R,,Reliever
*R.A. Dickey,'03,,23,Rangers,2,1-,2-7,8-13,14-16,17-,18-19,-,20-24,-,25+,120,2,R,R,Reliever
*Bret Saberhagen,'00,,23,Red Sox,5,5-7,1-4,8-11,12-16,-,17-19,-,20-,-,-,430,6,R,,Starter
**Al Leiter,'05,,23,Marlins,2,1-2,3-6,7-12,13-16,17-18,19-,-,20-25,-,26+,100,6,L,,Starter
*Kip Wells,'02,,23,Pirates,2,1-3,4-7,8-15,16-17,18-,19-,-,20-24,-,25+,210,6,R,,Starter
**Aaron Sele,'03,,23,Angels,2,1-2,3-5,6-12,13-16,17-,18-19,-,20-22,-,23+,120,6,R,,Starter
Albie Lopez,'02,,23,Diamondbacks,3,1-4,5-7,8-13,14-16,17-,18-19,-,20-21,-,22+,180,6,R,,Starter
Curt Schilling,'02,,24,Diamondbacks,4,1-3,4-10,11-14,15-17,-,18-19,-,20-,-,21+,400,07,R,,Starter
*Jason Schmidt,'04,,24,Giants,6,1-2,3-8,9-13,14-16,17-,18-21,-,22-25,-,26+,700,7,R,,Starter
Shigetoshi Hasegawa,'04,,24,Mariners,5,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+,200,1,R,,Closer
*Cliff Politte,'03,,24,Blue Jays,4,1-4,5-9,10-13,14-17,18-,19-21,-,22-23,-,24+,100,1,R,,Closer
*John Wasdin,'00,,24,Red Sox,5,5-7,1-4,8-11,12-16,-,17-18,-,19-,-,20+,240,2,R,,Reliever
Matt Mantei,'01,,24,Diamondbacks,5,1-4,5-10,11-12,13-15,16-18,19-,-,20-,-,-,170,1,R,,Closer
Randy Johnson,'00,,24,Diamondbacks,3,11-12,1-10,13-15,16-18,19-,20-,-,-,-,-,630,08,L,,Starter
**Octavio Dotel,'05,,24,Athletics,5,1-2,3-10,11-13,14-17,18-,19-,-,20-24,-,25+,290,1,R,,Closer
*Jason Christansen,'01,,25,Cardinals,5,1-2,3-8,9-12,13-15,16-17,18-19,-,20-,-,-,160,1,L,,Reliever
*Dan Kolb,'04,,25,Brewers,6,1-3,4-9,10-15,16-17,-,18-24,-,25-26,-,27+,290,1,R,,Closer
*Russ Springer,'03,,25,Cardinals,5,1-,2-4,5-8,9-16,17-,18-,-,19-24,-,25+,100,1,R,,Reliever
Willis Roberts,'03,,25,Orioles,2,1-,2-5,6-13,14-17,18-19,20-21,-,22-,-,23+,160,1,R,,Reliever
Mike Morgan,'01,,25,Diamondbacks,1,1-2,3-5,6-14,15-17,-,18-20,-,-,-,-,70,1,R,,Reliever
**Shigetoshi Hasegawa,'03,,25,Mariners,3,1-3,4-6,7-13,14-16,17-,18-19,-,20-22,-,23+,130,1,R,,Reliever
**Horacio Ramirez,'04,,25,Braves,2,1-,2-4,5-10,11-16,17-,18-19,-,20-23,-,24+,140,6,L,R,Starter
Barry Zito,'02,,25,Athletics,4,1-3,4-9,10-13,14-17,-,18-20,-,21-,-,22+,520,07,L,,Starter
*Kirk Rueter,'03,,26,Giants,3,1-,2-3,4-11,12-16,17-,18-19,-,20-,-,21+,170,6,L,,Starter
*Josh Fogg,'02,,26,Pirates,3,1-3,4-7,8-12,13-17,18-,19-20,-,-,-,21+,320,07,R,,Starter
Matt Mantei,'00,,26,Diamondbacks,3,11-,1-10,12-13,14-16,17-20,-,-,-,-,-,150,1,R,,Closer
**Steve Kline,'03,,26,Cardinals,3,1-,2-5,6-12,13-15,16-17,18-19,-,20-22,-,23+,90,1,L,,Reliever
*Paul Shuey,'01,,26,Indians,3,1-2,3-8,9-14,15-17,18-19,20-,-,-,-,-,200,1,R,,Reliever
Curt Schilling,'01,,26,Diamondbacks,3,1-3,4-8,9-13,14-17,-,18-19,-,20-,-,-,450,07,R,,Starter
Dan Plesac,'00,,27,Diamondbacks,4,8-9,1-7,10-11,12-15,16-,17-19,-,20-,-,-,90,1,L,,Reliever
**Ramiro Mendoza,'03,,27,Red Sox,4,1-3,4-11,12-15,16-,17-19,-,20-23,-,24+,,140,1,R,,Reliever
*Mark Wohlers,'01,,27,Reds,5,1-3,4-7,8-11,12-14,15-18,19-,-,20-,-,-,90,1,R,,Reliever
**Kevin Millwood,'05,,27,Indians,3,1-2,3-7,8-13,14-17,18-,19-22,-,23-24,-,25+,320,7,R,,Starter
Tom Glavine,'02,,28,Braves,1,1-3,4-5,6-13,14-18,19-,20-23,-,-,-,24+,260,6,L,,Starter
*Scott Williamson,'03,,28,Reds,2,1-2,3-9,10-14,15-17,18-,19-,-,20-,-,21+,110,1,R,,Closer
*John Riedling,'01,,28,Reds,4,1-2,3-7,8-12,13-15,16-17,18-19,-,20-,-,-,100,1,R,,Reliever
Greg Swindell,'01,,28,Diamondbacks,5,1-2,3-7,8-11,12-16,-,17-19,-,20-,-,-,210,1,L,,Reliever
*Kevin Tapani,'00,,28,Cubs,3,4-6,1-3,7-12,13-16,-,17-18,-,19-20,-,-,260,6,R,,Starter
Ray King,'04,,28,Braves,4,1-3,4-7,8-15,16-17,18-,19-23,-,24-26,-,27+,190,1,L,,Reliever
**Scott Sullivan,'04,,28,Royals,3,1-2,3-7,8-14,15-16,17-18,19-22,-,23-24,-,25+,150,1,R,,Reliever
**Mike Stanton,'03,,28,Mets,3,1-,2-4,5-10,11-15,16-,17-19,-,20-,-,21+,130,1,L,,Reliever
*Eric Gagne,'04,,28,Dodgers,6,1-2,3-9,10-14,15-17,18-,19-20,-,21-22,-,23+,330,1,R,,Closer
*Kerry Wood,'00,,29,Cubs,4,10-11,1-9,12-13,14-16,17-19,20-,-,-,-,-,520,6,R,,Starter
Greg Swindell,'00,,29,Diamondbacks,3,6-7,1-5,8-11,12-17,18-,19-20,-,-,-,-,140,1,L,,Reliever
**John Riedling,'05,,29,Marlins,1,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+,40,1,R,,Reliever
*Vicente Padilla,'02,,29,Phillies,5,1-2,3-6,7-15,16-,-,17-19,-,20-26,-,27+,510,07,R,,Starter
